FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,66.733,55.773,9,20488,122720
Frame 2,66.733,55.766,9,20488,122720
Frame 3,66.733,55.769,9,20488,122720
Frame 4,66.733,55.77,9,20488,122720
Frame 5,66.733,55.765,9,20488,122720
Frame 6,66.733,55.772,9,20488,122720
Frame 7,66.733,55.775,9,20488,122720
Frame 8,66.733,55.774,9,20488,122720
Frame 9,66.733,55.773,9,20488,122720
Frame 10,66.733,55.775,9,20488,122720
Frame 11,66.733,55.778,9,20488,122720
Frame 12,66.733,55.773,9,20488,122720
Frame 13,66.733,55.777,9,20488,122720
Frame 14,66.733,55.776,9,20488,122720
Frame 15,66.733,56.318,9,20488,122720
Frame 16,66.733,56.502,9,20488,122720
Frame 17,66.733,56.644,9,20488,122720
Frame 18,66.733,56.725,9,20488,122720
Frame 19,66.733,56.766,9,20488,122720
Frame 20,66.733,56.786,9,20488,122720
Frame 21,66.733,56.766,9,20488,122720
Frame 22,66.733,56.726,9,20488,122720
Frame 23,66.733,56.717,9,20488,122720
Frame 24,66.733,56.64,9,20488,122720
Frame 25,66.733,56.53,9,20488,122720
Frame 26,66.733,56.447,9,20488,122720
Frame 27,66.733,56.308,9,20488,122720
Frame 28,66.733,55.83,9,20488,122720
Frame 29,66.733,55.828,9,20488,122720
Frame 30,66.733,55.831,9,20488,122720
Frame 31,66.733,55.831,9,20488,122720
Frame 32,66.733,55.83,9,20488,122720
Frame 33,66.733,55.831,9,20488,122720
Frame 34,66.733,55.82,9,20488,122720
Frame 35,66.733,55.816,9,20488,122720
Frame 36,66.733,55.816,9,20488,122720
Frame 37,66.733,55.818,9,20488,122720
Frame 38,66.733,55.813,9,20488,122720
Frame 39,66.733,55.816,9,20488,122720
Frame 40,66.733,55.815,9,20488,122720
Frame 41,66.733,55.814,9,20488,122720
Frame 42,66.733,55.811,9,20488,122720
Frame 43,66.733,55.812,9,20488,122720
Frame 44,66.733,55.806,9,20488,122720
Frame 45,66.733,55.81,9,20488,122720
Frame 46,66.733,55.806,9,20488,122720
Frame 47,66.733,55.805,9,20488,122720
Frame 48,66.733,55.801,9,20488,122720
Frame 49,66.733,55.807,9,20488,122720
Frame 50,66.733,55.803,9,20488,122720
Frame 51,66.733,55.799,9,20488,122720
Frame 52,66.733,55.796,9,20488,122720
Frame 53,66.733,55.797,9,20488,122720
Frame 54,66.733,55.795,9,20488,122720
Frame 55,66.733,55.743,9,20488,122720
Frame 56,66.733,55.743,9,20488,122720
Frame 57,66.733,55.747,9,20488,122720
Frame 58,66.733,55.746,9,20488,122720
Frame 59,66.733,55.742,9,20488,122720
Frame 60,66.733,56.333,9,20488,122720
Frame 61,66.733,56.495,9,20488,122720
Frame 62,66.733,56.612,9,20488,122720
Frame 63,66.733,56.721,9,20488,122720
Frame 64,66.733,56.783,9,20488,122720
Frame 65,66.733,56.732,9,20488,122720
Frame 66,66.733,56.861,9,20488,122720
Frame 67,66.733,56.914,9,20488,122720
Frame 68,66.733,56.952,9,20488,122720
Frame 69,66.733,56.995,9,20488,122720
Frame 70,66.733,57.04,9,20488,122720
Frame 71,66.733,57.084,9,20488,122720
Frame 72,66.733,57.112,9,20488,122720
Frame 73,66.733,57.157,9,20488,122720
Frame 74,66.733,57.171,9,20488,122720
Frame 75,66.733,57.215,9,20488,122720
Frame 76,66.733,57.23,9,20488,122720
Frame 77,66.733,57.264,9,20488,122720
Frame 78,66.733,57.27,9,20488,122720
Frame 79,66.733,57.261,9,20488,122720
Frame 80,66.733,57.267,9,20488,122720
Frame 81,66.733,57.23,9,20488,122720
Frame 82,66.733,57.22,9,20488,122720
Frame 83,66.733,57.217,9,20488,122720
Frame 84,66.733,57.204,9,20488,122720
Frame 85,66.733,57.199,9,20488,122720
Frame 86,66.733,57.188,9,20488,122720
Frame 87,66.733,57.201,9,20488,122720
Frame 88,66.733,57.194,9,20488,122720
Frame 89,66.733,57.18,9,20488,122720
Frame 90,66.733,57.157,9,20488,122720
Frame 91,66.733,57.136,9,20488,122720
Frame 92,66.733,57.097,9,20488,122720
Frame 93,66.733,57.045,9,20488,122720
Frame 94,66.733,56.986,9,20488,122720
Frame 95,66.733,56.899,9,20488,122720
Frame 96,66.733,56.794,9,20488,122720
Frame 97,66.733,56.653,9,20488,122720
