FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,16.683,0.037,76,106,40723
Frame 2,16.684,0.034,75,104,39946
Frame 3,16.682,0.034,75,105,39878
Frame 4,16.683,0.033,74,104,39208
Frame 5,16.683,0.034,75,107,39792
Frame 6,16.683,0.035,75,106,39571
Frame 7,16.683,0.034,75,106,39658
Frame 8,16.683,0.034,74,104,39027
Frame 9,16.683,0.035,76,106,39938
Frame 10,16.683,0.035,76,106,40028
Frame 11,16.683,0.035,76,105,40012
Frame 12,16.683,0.035,76,105,39979
Frame 13,16.683,0.035,77,105,40380
Frame 14,16.683,0.034,75,102,39032
Frame 15,16.683,0.036,77,105,40199
Frame 16,16.683,0.035,77,105,40201
Frame 17,16.683,0.033,75,102,39052
Frame 18,16.683,0.038,78,107,40655
Frame 19,16.683,0.033,76,105,39587
Frame 20,16.683,0.035,78,108,40392
Frame 21,16.683,0.034,77,107,39879
Frame 22,16.683,0.035,77,107,39546
Frame 23,16.683,0.035,77,106,39272
Frame 24,16.683,0.035,76,103,38609
Frame 25,16.683,0.032,77,104,39118
Frame 26,16.683,0.031,77,104,39118
Frame 27,16.683,0.032,77,104,39001
Frame 28,16.683,0.031,76,103,38665
Frame 29,16.683,0.03,76,103,38665
Frame 30,16.683,0.03,75,101,38032
Frame 31,16.683,0.03,75,101,37898
Frame 32,16.683,0.03,74,101,37463
Frame 33,16.683,0.031,76,104,38489
Frame 34,16.683,0.03,75,103,37998
Frame 35,16.683,0.03,75,104,38161
Frame 36,16.683,0.031,75,106,38442
Frame 37,16.683,0.031,75,107,38531
Frame 38,16.683,0.032,76,109,39080
Frame 39,16.683,0.03,74,106,37918
Frame 40,16.683,0.03,73,105,37603
Frame 41,16.683,0.031,74,107,38132
Frame 42,16.683,0.031,74,107,38174
Frame 43,16.683,0.03,72,104,37393
Frame 44,16.683,0.031,73,105,37886
Frame 45,16.683,0.032,74,105,38369
Frame 46,16.683,0.031,74,105,38369
Frame 47,16.683,0.031,74,105,38405
Frame 48,16.683,0.03,72,102,37238
Frame 49,16.683,0.03,72,102,37130
Frame 50,16.683,0.03,74,104,37948
Frame 51,16.683,0.03,74,104,38026
Frame 52,16.683,0.03,75,105,38567
Frame 53,16.683,0.031,75,104,38493
Frame 54,16.683,0.03,73,102,37612
Frame 55,16.683,0.029,72,100,36697
Frame 56,16.683,0.029,72,100,36541
Frame 57,16.683,0.029,72,100,36588
Frame 58,16.683,0.029,73,101,36975
Frame 59,16.683,0.029,72,101,36691
Frame 60,16.683,0.029,72,102,36813
Frame 61,16.683,0.03,74,104,37841
Frame 62,16.683,0.03,75,105,38272
Frame 63,16.683,0.029,74,103,37708
Frame 64,16.683,0.028,72,101,36824
Frame 65,16.683,0.028,71,100,36317
Frame 66,16.683,0.027,68,97,35135
Frame 67,16.683,0.029,68,97,35135
Frame 68,16.683,0.028,69,99,35619
Frame 69,16.683,0.028,69,98,35620
Frame 70,16.683,0.029,71,101,36683
Frame 71,16.683,0.029,72,104,37567
Frame 72,16.683,0.028,71,102,36905
Frame 73,16.683,0.028,70,101,36554
Frame 74,16.683,0.027,70,100,36530
Frame 75,16.683,0.028,70,101,36604
Frame 76,16.683,0.028,70,101,36679
Frame 77,16.683,0.028,72,103,37790
Frame 78,16.683,0.028,73,104,38335
Frame 79,16.683,0.028,73,104,38335
Frame 80,16.683,0.028,72,102,37753
Frame 81,16.683,0.028,71,101,37296
Frame 82,16.683,0.029,73,104,38487
Frame 83,16.683,0.028,72,102,37919
Frame 84,16.683,0.028,71,100,37367
