FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,33.366,19.508,9,9,25232
Frame 2,33.366,19.503,9,9,25232
Frame 3,33.366,19.502,9,9,25232
Frame 4,33.366,19.502,9,9,25232
Frame 5,33.366,19.503,9,9,25232
Frame 6,33.366,19.501,9,9,25232
Frame 7,33.366,19.502,9,9,25232
Frame 8,33.366,19.503,9,9,25232
Frame 9,33.366,19.502,9,9,25232
Frame 10,33.366,19.502,9,9,25232
Frame 11,33.366,19.503,9,9,25232
Frame 12,33.366,19.501,9,9,25232
Frame 13,33.366,19.502,9,9,25232
Frame 14,33.366,19.503,9,9,25232
Frame 15,33.366,19.502,9,9,25232
Frame 16,33.366,19.502,9,9,25232
Frame 17,33.366,19.503,9,9,25232
Frame 18,33.366,19.501,9,9,25232
Frame 19,33.366,19.503,9,9,25232
Frame 20,33.366,19.502,9,9,25232
Frame 21,33.366,19.502,9,9,25232
Frame 22,33.366,19.503,9,9,25232
Frame 23,33.366,19.503,9,9,25232
Frame 24,33.366,19.501,9,9,25232
Frame 25,33.366,19.502,9,9,25232
Frame 26,33.366,19.501,9,9,25232
Frame 27,33.366,19.5,9,9,25232
Frame 28,33.366,19.502,9,9,25232
Frame 29,33.367,19.501,9,9,25232
Frame 30,33.365,19.5,9,9,25232
Frame 31,33.366,19.502,9,9,25232
Frame 32,33.366,19.501,9,9,25232
Frame 33,33.366,19.501,9,9,25232
Frame 34,33.366,19.502,9,9,25232
Frame 35,33.366,19.502,9,9,25232
Frame 36,33.366,19.5,9,9,25232
Frame 37,33.366,19.501,9,9,25232
Frame 38,33.366,19.502,9,9,25232
Frame 39,33.366,19.5,9,9,25232
Frame 40,33.366,19.502,9,9,25232
Frame 41,33.366,19.502,9,9,25232
Frame 42,33.366,19.5,9,9,25232
Frame 43,33.366,19.502,9,9,25232
Frame 44,33.366,19.502,9,9,25232
Frame 45,33.366,19.5,9,9,25232
Frame 46,33.366,19.502,9,9,25232
Frame 47,33.366,19.501,9,9,25232
Frame 48,33.366,19.501,9,9,25232
Frame 49,33.366,19.501,9,9,25232
Frame 50,33.366,19.501,9,9,25232
Frame 51,33.366,19.5,9,9,25232
Frame 52,33.366,19.502,9,9,25232
Frame 53,33.366,19.502,9,9,25232
Frame 54,33.366,19.5,9,9,25232
Frame 55,33.366,19.503,9,9,25232
Frame 56,33.366,19.501,9,9,25232
Frame 57,33.366,19.501,9,9,25232
Frame 58,33.366,19.502,9,9,25232
Frame 59,33.366,19.502,9,9,25232
Frame 60,33.366,19.501,9,9,25232
Frame 61,33.366,19.503,9,9,25232
Frame 62,33.366,19.501,9,9,25232
Frame 63,33.366,19.501,9,9,25232
Frame 64,33.366,19.502,9,9,25232
Frame 65,33.366,19.501,9,9,25232
Frame 66,33.366,19.501,9,9,25232
Frame 67,33.366,19.502,9,9,25232
Frame 68,33.366,19.501,9,9,25232
Frame 69,33.366,19.5,9,9,25232
Frame 70,33.366,19.502,9,9,25232
Frame 71,33.366,19.5,9,9,25232
Frame 72,33.366,19.501,9,9,25232
Frame 73,33.366,19.503,9,9,25232
Frame 74,33.366,19.5,9,9,25232
Frame 75,33.366,19.501,9,9,25232
Frame 76,33.366,19.502,9,9,25232
Frame 77,33.366,19.501,9,9,25232
Frame 78,33.366,19.502,9,9,25232
Frame 79,33.366,19.502,9,9,25232
Frame 80,33.366,19.501,9,9,25232
Frame 81,33.366,19.502,9,9,25232
Frame 82,33.366,19.501,9,9,25232
Frame 83,33.366,19.5,9,9,25232
Frame 84,33.366,19.502,9,9,25232
Frame 85,33.367,19.502,9,9,25232
Frame 86,33.365,19.5,9,9,25232
Frame 87,33.366,19.502,9,9,25232
Frame 88,33.366,19.501,9,9,25232
Frame 89,33.366,19.5,9,9,25232
Frame 90,33.366,19.503,9,9,25232
Frame 91,33.366,19.502,9,9,25232
Frame 92,33.366,19.5,9,9,25232
Frame 93,33.366,19.501,9,9,25232
Frame 94,33.366,19.502,9,9,25232
Frame 95,33.366,19.501,9,9,25232
Frame 96,33.366,19.502,9,9,25232
Frame 97,33.366,19.502,9,9,25232
Frame 98,33.366,19.501,9,9,25232
Frame 99,33.366,19.502,9,9,25232
Frame 100,33.366,19.502,9,9,25232
Frame 101,33.366,19.501,9,9,25232
Frame 102,33.366,19.502,9,9,25232
Frame 103,33.366,19.501,9,9,25232
Frame 104,33.366,19.501,9,9,25232
Frame 105,33.366,19.502,9,9,25232
Frame 106,33.366,19.501,9,9,25232
Frame 107,33.366,19.5,9,9,25232
Frame 108,33.366,19.502,9,9,25232
Frame 109,33.366,19.501,9,9,25232
Frame 110,33.366,19.499,9,9,25232
Frame 111,33.366,19.502,9,9,25232
Frame 112,33.366,19.501,9,9,25232
Frame 113,33.366,19.502,9,9,25232
Frame 114,33.366,19.502,9,9,25232
Frame 115,33.366,19.502,9,9,25232
Frame 116,33.366,19.501,9,9,25232
Frame 117,33.366,19.503,9,9,25232
Frame 118,33.366,19.502,9,9,25232
Frame 119,33.366,19.501,9,9,25232
Frame 120,33.366,19.502,9,9,25232
Frame 121,33.366,19.501,9,9,25232
Frame 122,33.366,19.501,9,9,25232
Frame 123,33.366,19.502,9,9,25232
Frame 124,33.366,19.501,9,9,25232
Frame 125,33.366,19.5,9,9,25232
Frame 126,33.366,19.5,9,9,25232
Frame 127,33.366,19.502,9,9,25232
Frame 128,33.366,19.501,9,9,25232
Frame 129,33.366,19.504,9,9,25232
Frame 130,33.366,19.502,9,9,25232
Frame 131,33.366,19.503,9,9,25232
Frame 132,33.366,19.504,9,9,25232
Frame 133,33.366,19.503,9,9,25232
Frame 134,33.366,19.503,9,9,25232
Frame 135,33.366,19.502,9,9,25232
Frame 136,33.366,19.501,9,9,25232
Frame 137,33.366,19.503,9,9,25232
Frame 138,33.366,19.501,9,9,25232
Frame 139,33.366,19.501,9,9,25232
Frame 140,33.366,19.503,9,9,25232
Frame 141,33.366,19.502,9,9,25232
Frame 142,33.366,19.502,9,9,25232
Frame 143,33.366,19.503,9,9,25232
Frame 144,33.366,19.504,9,9,25232
Frame 145,33.366,19.501,9,9,25232
Frame 146,33.366,19.503,9,9,25232
Frame 147,33.366,19.503,9,9,25232
Frame 148,33.366,19.501,9,9,25232
Frame 149,33.366,19.503,9,9,25232
Frame 150,33.366,19.502,9,9,25232
Frame 151,33.366,19.501,9,9,25232
Frame 152,33.366,19.502,9,9,25232
Frame 153,33.366,19.503,9,9,25232
Frame 154,33.366,19.502,9,9,25232
Frame 155,33.366,19.504,9,9,25232
Frame 156,33.366,19.503,9,9,25232
Frame 157,33.366,19.503,9,9,25232
Frame 158,33.366,19.502,9,9,25232
Frame 159,33.366,19.502,9,9,25232
Frame 160,33.366,19.501,9,9,25232
Frame 161,33.366,19.503,9,9,25232
Frame 162,33.366,19.502,9,9,25232
Frame 163,33.366,19.501,9,9,25232
Frame 164,33.366,19.503,9,9,25232
Frame 165,33.366,19.503,9,9,25232
Frame 166,33.366,19.501,9,9,25232
Frame 167,33.366,19.503,9,9,25232
Frame 168,33.366,19.502,9,9,25232
Frame 169,33.366,19.502,9,9,25232
Frame 170,33.366,19.503,9,9,25232
Frame 171,33.366,19.503,9,9,25232
Frame 172,33.366,19.502,9,9,25232
Frame 173,33.366,19.503,9,9,25232
Frame 174,33.366,19.502,9,9,25232
Frame 175,33.366,19.503,9,9,25232
Frame 176,33.366,19.504,9,9,25232
Frame 177,33.366,19.502,9,9,25232
Frame 178,33.366,19.502,9,9,25232
Frame 179,33.366,19.504,9,9,25232
Frame 180,33.366,19.502,9,9,25232
Frame 181,33.366,19.503,9,9,25232
Frame 182,33.366,19.504,9,9,25232
Frame 183,33.366,19.502,9,9,25232
Frame 184,33.366,19.502,9,9,25232
Frame 185,33.366,19.504,9,9,25232
Frame 186,33.366,19.501,9,9,25232
Frame 187,33.366,19.502,9,9,25232
Frame 188,33.366,19.503,9,9,25232
Frame 189,33.366,19.502,9,9,25232
Frame 190,33.366,19.502,9,9,25232
Frame 191,33.366,19.502,9,9,25232
Frame 192,33.366,19.501,9,9,25232
Frame 193,33.366,19.504,9,9,25232
Frame 194,33.366,19.502,9,9,25232
Frame 195,33.366,19.501,9,9,25232
Frame 196,33.366,19.503,9,9,25232
Frame 197,33.366,19.504,9,9,25232
Frame 198,33.366,19.501,9,9,25232
Frame 199,33.366,19.502,9,9,25232
Frame 200,33.366,19.503,9,9,25232
Frame 201,33.366,19.502,9,9,25232
Frame 202,33.366,19.503,9,9,25232
Frame 203,33.366,19.504,9,9,25232
Frame 204,33.366,19.501,9,9,25232
Frame 205,33.366,19.504,9,9,25232
Frame 206,33.366,19.503,9,9,25232
Frame 207,33.366,19.502,9,9,25232
Frame 208,33.366,19.503,9,9,25232
Frame 209,33.366,19.503,9,9,25232
Frame 210,33.366,19.502,9,9,25232
Frame 211,33.366,19.503,9,9,25232
Frame 212,33.366,19.502,9,9,25232
Frame 213,33.366,19.502,9,9,25232
Frame 214,33.366,19.502,9,9,25232
Frame 215,33.366,19.503,9,9,25232
Frame 216,33.366,19.501,9,9,25232
Frame 217,33.366,19.503,9,9,25232
Frame 218,33.366,19.503,9,9,25232
Frame 219,33.366,19.5,9,9,25232
Frame 220,33.366,19.503,9,9,25232
Frame 221,33.366,19.503,9,9,25232
Frame 222,33.366,19.502,9,9,25232
Frame 223,33.366,19.504,9,9,25232
Frame 224,33.366,19.502,9,9,25232
Frame 225,33.366,19.502,9,9,25232
Frame 226,33.366,19.503,9,9,25232
Frame 227,33.366,19.503,9,9,25232
Frame 228,33.366,19.502,9,9,25232
Frame 229,33.366,19.503,9,9,25232
Frame 230,33.366,19.502,9,9,25232
Frame 231,33.366,19.502,9,9,25232
Frame 232,33.366,19.503,9,9,25232
Frame 233,33.366,19.502,9,9,25232
Frame 234,33.366,19.502,9,9,25232
Frame 235,33.366,19.504,9,9,25232
Frame 236,33.366,19.502,9,9,25232
Frame 237,33.366,19.501,9,9,25232
Frame 238,33.366,19.504,9,9,25232
Frame 239,33.366,19.501,9,9,25232
Frame 240,33.366,19.502,9,9,25232
Frame 241,33.366,19.503,9,9,25232
Frame 242,33.366,19.502,9,9,25232
Frame 243,33.366,19.504,9,9,25232
Frame 244,33.366,19.503,9,9,25232
Frame 245,33.366,19.502,9,9,25232
Frame 246,33.366,19.503,9,9,25232
Frame 247,33.366,19.502,9,9,25232
Frame 248,33.366,19.501,9,9,25232
Frame 249,33.366,19.504,9,9,25232
Frame 250,33.367,19.502,9,9,25232
Frame 251,33.365,19.502,9,9,25232
Frame 252,33.366,19.502,9,9,25232
Frame 253,33.366,19.503,9,9,25232
Frame 254,33.366,19.501,9,9,25232
Frame 255,33.366,19.503,9,9,25232
Frame 256,33.366,19.503,9,9,25232


*-*-*-*-*,*-*-*-*-*,*-*-*-*-*,STATISTICS OF:, [RAD_1-OCC_1-BA_Y-LI_N-STRUC_0-M_N-VTX_N-NLD_N-RM_0.csv],*-*-*-*-*,*-*-*-*-*,*-*-*-*-*
,TYPE, MAX, MIN, MEAN, MEDIAN
,Frame Times,33.367,33.365,33.3661,33.366
,Draw Times,19.508,19.499,19.5019,19.502
,Chunks Drawn,9,9,9,9
,Draw Calls,9,9,9,9
,Faces Drawn,25232,25232,25232,25232

MEM USED [SYS](KB),MEM USED [VOXEL](KB),TOTAL MEM USED(KB),TOTAL MEM FREE(KB),CHUNK DRAW MODE,TOTAL CHUNKS,VALID BLOCKS,VALID FACES
1456.02,1369.74,6787.93,17784.1,DEFAULT,9,20488,122720
