FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,31.87,0.12,225,308,121185
Frame 2,31.919,0.105,225,308,121185
Frame 3,31.68,0.107,225,308,121185
Frame 4,31.541,0.105,225,308,121185
Frame 5,31.497,0.107,225,308,121185
Frame 6,31.483,0.105,225,308,121185
Frame 7,31.649,0.105,225,308,121185
Frame 8,31.28,0.105,225,308,121185
Frame 9,31.318,0.105,225,308,121185
Frame 10,31.035,0.105,225,308,121185
Frame 11,30.67,0.105,225,308,121185
Frame 12,30.701,0.107,225,308,121185
Frame 13,30.373,0.105,225,308,121185
Frame 14,29.744,0.105,225,308,121185
Frame 15,29.511,0.105,225,308,121185
Frame 16,29.463,0.107,225,308,121185
Frame 17,29.194,0.105,225,308,121185
Frame 18,28.924,0.105,225,308,121185
Frame 19,28.694,0.105,225,308,121185
Frame 20,28.498,0.105,225,308,121185
Frame 21,28.202,0.105,225,308,121185
Frame 22,27.998,0.105,225,308,121185
Frame 23,28.003,0.105,225,308,121185
Frame 24,28.004,0.105,225,308,121185
Frame 25,27.997,0.105,225,308,121185
Frame 26,27.992,0.106,225,308,121185
Frame 27,27.98,0.106,225,308,121185
Frame 28,27.986,0.105,225,308,121185
Frame 29,28.03,0.105,225,308,121185
Frame 30,28.063,0.105,225,308,121185
Frame 31,28.073,0.105,225,308,121185
Frame 32,28.079,0.105,225,308,121185
Frame 33,28.084,0.105,225,308,121185
Frame 34,28.085,0.105,225,308,121185
Frame 35,28.088,0.105,225,308,121185
Frame 36,28.154,0.105,225,308,121185
Frame 37,28.196,0.105,225,308,121185
Frame 38,28.19,0.105,225,308,121185
Frame 39,28.202,0.105,225,308,121185
Frame 40,28.194,0.105,225,308,121185
Frame 41,28.192,0.105,225,308,121185
Frame 42,28.194,0.107,225,308,121185
Frame 43,28.187,0.106,225,308,121185
Frame 44,28.232,0.105,225,308,121185
Frame 45,28.255,0.105,225,308,121185
Frame 46,28.238,0.105,225,308,121185
Frame 47,28.227,0.107,225,308,121185
Frame 48,28.197,0.105,225,308,121185
Frame 49,28.182,0.105,225,308,121185
Frame 50,28.189,0.105,225,308,121185
Frame 51,28.182,0.106,225,308,121185
Frame 52,28.181,0.105,225,308,121185
Frame 53,28.269,0.105,225,308,121185
