FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,28.89,0.118,225,308,121185
Frame 2,28.943,0.106,225,308,121185
Frame 3,28.703,0.104,225,308,121185
Frame 4,28.569,0.104,225,308,121185
Frame 5,28.529,0.104,225,308,121185
Frame 6,28.514,0.104,225,308,121185
Frame 7,28.682,0.104,225,308,121185
Frame 8,28.312,0.104,225,308,121185
Frame 9,28.355,0.104,225,308,121185
Frame 10,28.076,0.104,225,308,121185
Frame 11,27.718,0.104,225,308,121185
Frame 12,27.754,0.106,225,308,121185
Frame 13,27.426,0.104,225,308,121185
Frame 14,26.799,0.104,225,308,121185
Frame 15,26.568,0.104,225,308,121185
Frame 16,26.521,0.104,225,308,121185
Frame 17,26.256,0.104,225,308,121185
Frame 18,25.973,0.104,225,308,121185
Frame 19,25.741,0.104,225,308,121185
Frame 20,25.542,0.104,225,308,121185
Frame 21,25.232,0.106,225,308,121185
Frame 22,25.032,0.106,225,308,121185
Frame 23,25.043,0.106,225,308,121185
Frame 24,25.046,0.106,225,308,121185
Frame 25,25.043,0.104,225,308,121185
Frame 26,25.038,0.104,225,308,121185
Frame 27,25.027,0.104,225,308,121185
Frame 28,25.026,0.104,225,308,121185
Frame 29,25.07,0.104,225,308,121185
Frame 30,25.102,0.105,225,308,121185
Frame 31,25.112,0.105,225,308,121185
Frame 32,25.118,0.104,225,308,121185
Frame 33,25.124,0.104,225,308,121185
Frame 34,25.126,0.104,225,308,121185
Frame 35,25.125,0.104,225,308,121185
Frame 36,25.19,0.107,225,308,121185
Frame 37,25.236,0.104,225,308,121185
Frame 38,25.232,0.105,225,308,121185
Frame 39,25.25,0.105,225,308,121185
Frame 40,25.246,0.104,225,308,121185
Frame 41,25.245,0.104,225,308,121185
Frame 42,25.248,0.105,225,308,121185
Frame 43,25.241,0.104,225,308,121185
Frame 44,25.275,0.107,225,308,121185
Frame 45,25.296,0.104,225,308,121185
Frame 46,25.28,0.105,225,308,121185
Frame 47,25.264,0.105,225,308,121185
Frame 48,25.232,0.104,225,308,121185
Frame 49,25.219,0.104,225,308,121185
Frame 50,25.224,0.104,225,308,121185
Frame 51,25.224,0.104,225,308,121185
Frame 52,25.229,0.104,225,308,121185
Frame 53,25.321,0.106,225,308,121185
Frame 54,25.428,0.104,225,308,121185
Frame 55,25.433,0.105,225,308,121185
Frame 56,25.41,0.105,225,308,121185
Frame 57,25.41,0.104,225,308,121185
Frame 58,25.39,0.106,225,308,121185
Frame 59,25.249,0.104,225,308,121185
Frame 60,25.18,0.104,225,308,121185
Frame 61,25.122,0.104,225,308,121185
Frame 62,25.048,0.105,225,308,121185
Frame 63,25.032,0.104,225,308,121185
Frame 64,25.041,0.104,225,308,121185
Frame 65,25.021,0.104,225,308,121185
Frame 66,24.978,0.104,225,308,121185
Frame 67,24.973,0.104,225,308,121185
Frame 68,24.962,0.104,225,308,121185
Frame 69,24.98,0.104,225,308,121185
Frame 70,24.992,0.104,225,308,121185
Frame 71,24.992,0.104,225,308,121185
Frame 72,24.988,0.104,225,308,121185
Frame 73,24.98,0.104,225,308,121185
Frame 74,24.979,0.104,225,308,121185
Frame 75,24.973,0.104,225,308,121185
Frame 76,24.97,0.104,225,308,121185
Frame 77,24.967,0.104,225,308,121185
Frame 78,24.958,0.105,225,308,121185
Frame 79,24.943,0.105,225,308,121185
Frame 80,24.953,0.106,225,308,121185
Frame 81,24.978,0.106,225,308,121185
Frame 82,25.009,0.106,225,308,121185
Frame 83,25.046,0.106,225,308,121185
Frame 84,25.057,0.106,225,308,121185
Frame 85,25.04,0.104,225,308,121185
Frame 86,25.009,0.105,225,308,121185
Frame 87,24.991,0.106,225,308,121185
Frame 88,24.976,0.106,225,308,121185
Frame 89,24.972,0.106,225,308,121185
Frame 90,24.98,0.104,225,308,121185
Frame 91,24.99,0.104,225,308,121185
Frame 92,25.013,0.105,225,308,121185
Frame 93,25.029,0.105,225,308,121185
Frame 94,25.032,0.107,225,308,121185
Frame 95,25.025,0.106,225,308,121185
Frame 96,25.034,0.106,225,308,121185
Frame 97,25.048,0.106,225,308,121185
Frame 98,25.059,0.104,225,308,121185
Frame 99,25.112,0.104,225,308,121185
Frame 100,25.187,0.104,225,308,121185
Frame 101,25.263,0.104,225,308,121185
Frame 102,25.189,0.104,225,308,121185
Frame 103,25.135,0.104,225,308,121185
Frame 104,25.102,0.106,225,308,121185
Frame 105,25.082,0.106,225,308,121185
Frame 106,25.091,0.104,225,308,121185
Frame 107,25.108,0.104,225,308,121185
Frame 108,25.123,0.105,225,308,121185
Frame 109,25.12,0.104,225,308,121185
Frame 110,25.098,0.105,225,308,121185
Frame 111,25.079,0.105,225,308,121185
Frame 112,25.052,0.105,225,308,121185
Frame 113,25.038,0.104,225,308,121185
Frame 114,25.029,0.104,225,308,121185
Frame 115,25.029,0.104,225,308,121185
Frame 116,25.045,0.104,225,308,121185
Frame 117,25.088,0.104,225,308,121185
Frame 118,25.125,0.105,225,308,121185
Frame 119,25.158,0.106,225,308,121185
Frame 120,25.188,0.104,225,308,121185
Frame 121,25.206,0.104,225,308,121185
Frame 122,25.2,0.104,225,308,121185
Frame 123,25.182,0.104,225,308,121185
Frame 124,25.171,0.104,225,308,121185
Frame 125,25.15,0.104,225,308,121185
Frame 126,25.124,0.104,225,308,121185
Frame 127,25.083,0.105,225,308,121185
Frame 128,25.038,0.105,225,308,121185
Frame 129,25.004,0.105,225,308,121185
Frame 130,24.979,0.105,225,308,121185
Frame 131,24.974,0.105,225,308,121185
Frame 132,24.976,0.105,225,308,121185
Frame 133,24.989,0.105,225,308,121185
Frame 134,25.02,0.105,225,308,121185
Frame 135,25.053,0.105,225,308,121185
Frame 136,25.102,0.105,225,308,121185
Frame 137,25.135,0.105,225,308,121185
Frame 138,25.16,0.105,225,308,121185
Frame 139,25.162,0.105,225,308,121185
Frame 140,25.137,0.105,225,308,121185
Frame 141,25.11,0.105,225,308,121185
Frame 142,25.08,0.107,225,308,121185
Frame 143,25.049,0.106,225,308,121185
Frame 144,25.026,0.107,225,308,121185
Frame 145,25.007,0.107,225,308,121185
Frame 146,24.991,0.106,225,308,121185
Frame 147,24.979,0.105,225,308,121185
Frame 148,24.98,0.105,225,308,121185
Frame 149,24.965,0.105,225,308,121185
Frame 150,24.968,0.105,225,308,121185
Frame 151,24.976,0.105,225,308,121185
Frame 152,24.981,0.105,225,308,121185
Frame 153,24.996,0.105,225,308,121185
Frame 154,25.005,0.105,225,308,121185
Frame 155,25.013,0.105,225,308,121185
Frame 156,25.038,0.105,225,308,121185
Frame 157,25.085,0.105,225,308,121185
Frame 158,25.114,0.105,225,308,121185
Frame 159,25.111,0.107,225,308,121185
Frame 160,25.088,0.104,225,308,121185
Frame 161,25.059,0.105,225,308,121185
Frame 162,25.031,0.105,225,308,121185
Frame 163,25.018,0.105,225,308,121185
Frame 164,25.003,0.105,225,308,121185
Frame 165,24.996,0.105,225,308,121185
Frame 166,25.053,0.105,225,308,121185
Frame 167,25.174,0.105,225,308,121185
Frame 168,25.242,0.105,225,308,121185
Frame 169,25.273,0.105,225,308,121185
Frame 170,25.251,0.105,225,308,121185
Frame 171,25.228,0.105,225,308,121185
Frame 172,25.261,0.105,225,308,121185
Frame 173,25.289,0.104,225,308,121185
Frame 174,25.26,0.106,225,308,121185
Frame 175,25.199,0.105,225,308,121185
Frame 176,25.131,0.104,225,308,121185
