FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,28.897,0.12,225,308,121185
Frame 2,28.95,0.107,225,308,121185
Frame 3,28.71,0.105,225,308,121185
Frame 4,28.576,0.106,225,308,121185
Frame 5,28.536,0.106,225,308,121185
Frame 6,28.521,0.106,225,308,121185
Frame 7,28.689,0.106,225,308,121185
Frame 8,28.319,0.106,225,308,121185
Frame 9,28.361,0.106,225,308,121185
Frame 10,28.083,0.106,225,308,121185
Frame 11,27.723,0.106,225,308,121185
Frame 12,27.76,0.106,225,308,121185
Frame 13,27.433,0.106,225,308,121185
Frame 14,26.804,0.106,225,308,121185
Frame 15,26.573,0.106,225,308,121185
Frame 16,26.526,0.106,225,308,121185
Frame 17,26.261,0.106,225,308,121185
Frame 18,25.979,0.106,225,308,121185
Frame 19,25.746,0.106,225,308,121185
Frame 20,25.546,0.106,225,308,121185
Frame 21,25.237,0.106,225,308,121185
Frame 22,25.037,0.106,225,308,121185
Frame 23,25.047,0.106,225,308,121185
Frame 24,25.051,0.106,225,308,121185
Frame 25,25.047,0.106,225,308,121185
Frame 26,25.043,0.106,225,308,121185
Frame 27,25.032,0.106,225,308,121185
Frame 28,25.03,0.106,225,308,121185
Frame 29,25.075,0.106,225,308,121185
Frame 30,25.107,0.106,225,308,121185
Frame 31,25.116,0.106,225,308,121185
Frame 32,25.122,0.106,225,308,121185
Frame 33,25.129,0.106,225,308,121185
Frame 34,25.131,0.106,225,308,121185
Frame 35,25.129,0.108,225,308,121185
Frame 36,25.194,0.106,225,308,121185
Frame 37,25.239,0.106,225,308,121185
Frame 38,25.237,0.106,225,308,121185
Frame 39,25.253,0.106,225,308,121185
Frame 40,25.251,0.106,225,308,121185
Frame 41,25.248,0.106,225,308,121185
Frame 42,25.251,0.106,225,308,121185
Frame 43,25.245,0.106,225,308,121185
Frame 44,25.279,0.106,225,308,121185
Frame 45,25.303,0.106,225,308,121185
Frame 46,25.285,0.106,225,308,121185
Frame 47,25.267,0.106,225,308,121185
Frame 48,25.235,0.106,225,308,121185
Frame 49,25.222,0.106,225,308,121185
Frame 50,25.229,0.106,225,308,121185
Frame 51,25.229,0.106,225,308,121185
Frame 52,25.233,0.108,225,308,121185
Frame 53,25.324,0.106,225,308,121185
Frame 54,25.433,0.106,225,308,121185
Frame 55,25.437,0.106,225,308,121185
Frame 56,25.414,0.106,225,308,121185
Frame 57,25.414,0.106,225,308,121185
Frame 58,25.394,0.106,225,308,121185
Frame 59,25.253,0.106,225,308,121185
Frame 60,25.184,0.106,225,308,121185
Frame 61,25.126,0.106,225,308,121185
Frame 62,25.052,0.106,225,308,121185
Frame 63,25.036,0.106,225,308,121185
Frame 64,25.045,0.106,225,308,121185
Frame 65,25.025,0.106,225,308,121185
Frame 66,24.982,0.106,225,308,121185
Frame 67,24.978,0.106,225,308,121185
Frame 68,24.967,0.106,225,308,121185
Frame 69,24.984,0.106,225,308,121185
Frame 70,24.997,0.106,225,308,121185
Frame 71,24.996,0.106,225,308,121185
Frame 72,24.992,0.106,225,308,121185
Frame 73,24.984,0.106,225,308,121185
Frame 74,24.983,0.106,225,308,121185
Frame 75,24.977,0.106,225,308,121185
Frame 76,24.974,0.106,225,308,121185
Frame 77,24.972,0.106,225,308,121185
Frame 78,24.963,0.106,225,308,121185
Frame 79,24.947,0.106,225,308,121185
Frame 80,24.956,0.106,225,308,121185
Frame 81,24.982,0.106,225,308,121185
Frame 82,25.014,0.106,225,308,121185
Frame 83,25.052,0.106,225,308,121185
Frame 84,25.062,0.106,225,308,121185
Frame 85,25.045,0.106,225,308,121185
Frame 86,25.014,0.106,225,308,121185
Frame 87,24.995,0.106,225,308,121185
Frame 88,24.98,0.106,225,308,121185
Frame 89,24.976,0.106,225,308,121185
Frame 90,24.984,0.106,225,308,121185
Frame 91,24.995,0.106,225,308,121185
Frame 92,25.017,0.106,225,308,121185
Frame 93,25.034,0.106,225,308,121185
Frame 94,25.036,0.106,225,308,121185
Frame 95,25.029,0.106,225,308,121185
Frame 96,25.039,0.106,225,308,121185
Frame 97,25.053,0.106,225,308,121185
Frame 98,25.064,0.106,225,308,121185
Frame 99,25.115,0.106,225,308,121185
Frame 100,25.191,0.106,225,308,121185
Frame 101,25.268,0.108,225,308,121185
Frame 102,25.193,0.106,225,308,121185
Frame 103,25.138,0.106,225,308,121185
Frame 104,25.106,0.106,225,308,121185
Frame 105,25.086,0.106,225,308,121185
Frame 106,25.096,0.106,225,308,121185
Frame 107,25.112,0.106,225,308,121185
Frame 108,25.128,0.106,225,308,121185
Frame 109,25.125,0.106,225,308,121185
Frame 110,25.102,0.108,225,308,121185
Frame 111,25.084,0.106,225,308,121185
Frame 112,25.056,0.106,225,308,121185
Frame 113,25.042,0.106,225,308,121185
Frame 114,25.033,0.106,225,308,121185
Frame 115,25.033,0.106,225,308,121185
Frame 116,25.049,0.106,225,308,121185
Frame 117,25.092,0.106,225,308,121185
Frame 118,25.13,0.106,225,308,121185
Frame 119,25.163,0.106,225,308,121185
Frame 120,25.192,0.106,225,308,121185
Frame 121,25.211,0.106,225,308,121185
Frame 122,25.203,0.106,225,308,121185
Frame 123,25.186,0.106,225,308,121185
Frame 124,25.175,0.106,225,308,121185
Frame 125,25.155,0.106,225,308,121185
Frame 126,25.127,0.106,225,308,121185
Frame 127,25.087,0.106,225,308,121185
Frame 128,25.041,0.106,225,308,121185
Frame 129,25.009,0.106,225,308,121185
Frame 130,24.984,0.106,225,308,121185
Frame 131,24.978,0.106,225,308,121185
Frame 132,24.981,0.106,225,308,121185
Frame 133,24.993,0.106,225,308,121185
Frame 134,25.025,0.106,225,308,121185
Frame 135,25.058,0.106,225,308,121185
Frame 136,25.106,0.107,225,308,121185
Frame 137,25.139,0.108,225,308,121185
Frame 138,25.164,0.106,225,308,121185
Frame 139,25.166,0.106,225,308,121185
Frame 140,25.141,0.106,225,308,121185
Frame 141,25.114,0.106,225,308,121185
Frame 142,25.084,0.106,225,308,121185
Frame 143,25.054,0.106,225,308,121185
Frame 144,25.03,0.106,225,308,121185
Frame 145,25.012,0.106,225,308,121185
Frame 146,24.996,0.106,225,308,121185
Frame 147,24.984,0.106,225,308,121185
Frame 148,24.985,0.106,225,308,121185
Frame 149,24.969,0.106,225,308,121185
Frame 150,24.974,0.106,225,308,121185
Frame 151,24.981,0.106,225,308,121185
Frame 152,24.985,0.106,225,308,121185
Frame 153,25,0.106,225,308,121185
Frame 154,25.009,0.106,225,308,121185
Frame 155,25.018,0.106,225,308,121185
Frame 156,25.042,0.106,225,308,121185
Frame 157,25.09,0.106,225,308,121185
Frame 158,25.119,0.106,225,308,121185
Frame 159,25.115,0.106,225,308,121185
Frame 160,25.092,0.106,225,308,121185
Frame 161,25.064,0.106,225,308,121185
Frame 162,25.035,0.106,225,308,121185
Frame 163,25.023,0.106,225,308,121185
Frame 164,25.008,0.106,225,308,121185
Frame 165,25,0.106,225,308,121185
Frame 166,25.057,0.106,225,308,121185
Frame 167,25.179,0.106,225,308,121185
Frame 168,25.248,0.106,225,308,121185
Frame 169,25.276,0.106,225,308,121185
Frame 170,25.255,0.106,225,308,121185
Frame 171,25.231,0.107,225,308,121185
Frame 172,25.265,0.106,225,308,121185
Frame 173,25.292,0.106,225,308,121185
Frame 174,25.264,0.106,225,308,121185
Frame 175,25.204,0.108,225,308,121185
Frame 176,25.136,0.106,225,308,121185
Frame 177,25.114,0.106,225,308,121185
Frame 178,25.091,0.106,225,308,121185
Frame 179,25.065,0.106,225,308,121185
Frame 180,25.039,0.106,225,308,121185
Frame 181,25.005,0.106,225,308,121185
Frame 182,24.977,0.106,225,308,121185
Frame 183,24.978,0.106,225,308,121185
Frame 184,24.975,0.106,225,308,121185
Frame 185,24.978,0.106,225,308,121185
Frame 186,24.974,0.106,225,308,121185
Frame 187,24.967,0.106,225,308,121185
Frame 188,24.981,0.106,225,308,121185
Frame 189,24.98,0.106,225,308,121185
Frame 190,24.977,0.107,225,308,121185
Frame 191,24.968,0.107,225,308,121185
Frame 192,24.953,0.106,225,308,121185
Frame 193,24.933,0.106,225,308,121185
Frame 194,24.895,0.106,225,308,121185
Frame 195,24.886,0.106,225,308,121185
Frame 196,24.898,0.106,225,308,121185
Frame 197,24.912,0.106,225,308,121185
Frame 198,24.923,0.106,225,308,121185
Frame 199,24.93,0.106,225,308,121185
Frame 200,24.958,0.106,225,308,121185
Frame 201,24.982,0.106,225,308,121185
Frame 202,25.02,0.106,225,308,121185
Frame 203,25.045,0.106,225,308,121185
Frame 204,25.083,0.106,225,308,121185
Frame 205,25.105,0.106,225,308,121185
Frame 206,25.124,0.106,225,308,121185
Frame 207,25.129,0.106,225,308,121185
Frame 208,25.133,0.106,225,308,121185
Frame 209,25.144,0.106,225,308,121185
Frame 210,25.162,0.106,225,308,121185
Frame 211,25.265,0.106,225,308,121185
Frame 212,25.319,0.106,225,308,121185
Frame 213,25.492,0.108,225,308,121185
Frame 214,25.524,0.106,225,308,121185
