FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,28.888,0.118,225,308,121185
Frame 2,28.938,0.104,225,308,121185
Frame 3,28.701,0.105,225,308,121185
Frame 4,28.567,0.106,225,308,121185
Frame 5,28.526,0.105,225,308,121185
Frame 6,28.512,0.106,225,308,121185
Frame 7,28.679,0.105,225,308,121185
Frame 8,28.31,0.107,225,308,121185
Frame 9,28.353,0.105,225,308,121185
Frame 10,28.075,0.105,225,308,121185
Frame 11,27.715,0.105,225,308,121185
Frame 12,27.752,0.105,225,308,121185
Frame 13,27.425,0.105,225,308,121185
Frame 14,26.797,0.106,225,308,121185
Frame 15,26.566,0.105,225,308,121185
Frame 16,26.519,0.105,225,308,121185
Frame 17,26.255,0.105,225,308,121185
Frame 18,25.971,0.105,225,308,121185
Frame 19,25.739,0.107,225,308,121185
Frame 20,25.539,0.105,225,308,121185
Frame 21,25.23,0.105,225,308,121185
Frame 22,25.031,0.105,225,308,121185
Frame 23,25.041,0.105,225,308,121185
Frame 24,25.045,0.105,225,308,121185
Frame 25,25.041,0.105,225,308,121185
Frame 26,25.037,0.105,225,308,121185
Frame 27,25.025,0.105,225,308,121185
Frame 28,25.025,0.105,225,308,121185
Frame 29,25.068,0.105,225,308,121185
Frame 30,25.101,0.106,225,308,121185
Frame 31,25.11,0.105,225,308,121185
Frame 32,25.116,0.105,225,308,121185
Frame 33,25.123,0.105,225,308,121185
Frame 34,25.124,0.105,225,308,121185
Frame 35,25.123,0.105,225,308,121185
Frame 36,25.187,0.105,225,308,121185
Frame 37,25.234,0.105,225,308,121185
Frame 38,25.229,0.105,225,308,121185
Frame 39,25.247,0.105,225,308,121185
Frame 40,25.245,0.105,225,308,121185
Frame 41,25.242,0.105,225,308,121185
Frame 42,25.245,0.105,225,308,121185
Frame 43,25.238,0.105,225,308,121185
Frame 44,25.272,0.105,225,308,121185
Frame 45,25.295,0.105,225,308,121185
Frame 46,25.279,0.105,225,308,121185
Frame 47,25.261,0.105,225,308,121185
Frame 48,25.229,0.105,225,308,121185
Frame 49,25.216,0.105,225,308,121185
Frame 50,25.222,0.107,225,308,121185
Frame 51,25.223,0.105,225,308,121185
Frame 52,25.226,0.105,225,308,121185
Frame 53,25.319,0.105,225,308,121185
Frame 54,25.426,0.105,225,308,121185
Frame 55,25.43,0.105,225,308,121185
Frame 56,25.409,0.105,225,308,121185
Frame 57,25.408,0.105,225,308,121185
Frame 58,25.388,0.105,225,308,121185
Frame 59,25.247,0.105,225,308,121185
Frame 60,25.177,0.104,225,308,121185
Frame 61,25.12,0.104,225,308,121185
Frame 62,25.046,0.105,225,308,121185
Frame 63,25.029,0.105,225,308,121185
Frame 64,25.038,0.105,225,308,121185
Frame 65,25.019,0.105,225,308,121185
Frame 66,24.976,0.105,225,308,121185
Frame 67,24.972,0.105,225,308,121185
Frame 68,24.96,0.105,225,308,121185
Frame 69,24.978,0.104,225,308,121185
Frame 70,24.99,0.105,225,308,121185
Frame 71,24.99,0.105,225,308,121185
Frame 72,24.988,0.106,225,308,121185
Frame 73,24.978,0.106,225,308,121185
Frame 74,24.976,0.106,225,308,121185
Frame 75,24.971,0.104,225,308,121185
Frame 76,24.967,0.105,225,308,121185
Frame 77,24.965,0.105,225,308,121185
Frame 78,24.956,0.105,225,308,121185
Frame 79,24.94,0.105,225,308,121185
Frame 80,24.95,0.105,225,308,121185
Frame 81,24.976,0.105,225,308,121185
Frame 82,25.007,0.105,225,308,121185
Frame 83,25.045,0.105,225,308,121185
Frame 84,25.055,0.105,225,308,121185
Frame 85,25.038,0.105,225,308,121185
Frame 86,25.007,0.105,225,308,121185
Frame 87,24.989,0.105,225,308,121185
Frame 88,24.973,0.105,225,308,121185
Frame 89,24.97,0.105,225,308,121185
Frame 90,24.977,0.105,225,308,121185
Frame 91,24.989,0.105,225,308,121185
Frame 92,25.011,0.105,225,308,121185
Frame 93,25.027,0.105,225,308,121185
Frame 94,25.03,0.105,225,308,121185
Frame 95,25.022,0.105,225,308,121185
Frame 96,25.032,0.105,225,308,121185
Frame 97,25.046,0.105,225,308,121185
Frame 98,25.057,0.105,225,308,121185
Frame 99,25.109,0.105,225,308,121185
Frame 100,25.184,0.105,225,308,121185
Frame 101,25.261,0.105,225,308,121185
Frame 102,25.186,0.105,225,308,121185
Frame 103,25.133,0.105,225,308,121185
Frame 104,25.1,0.105,225,308,121185
Frame 105,25.081,0.105,225,308,121185
Frame 106,25.09,0.105,225,308,121185
Frame 107,25.106,0.105,225,308,121185
Frame 108,25.121,0.105,225,308,121185
Frame 109,25.118,0.107,225,308,121185
Frame 110,25.096,0.105,225,308,121185
Frame 111,25.078,0.105,225,308,121185
Frame 112,25.05,0.105,225,308,121185
Frame 113,25.036,0.105,225,308,121185
Frame 114,25.026,0.105,225,308,121185
Frame 115,25.026,0.105,225,308,121185
Frame 116,25.043,0.105,225,308,121185
Frame 117,25.085,0.105,225,308,121185
Frame 118,25.123,0.105,225,308,121185
Frame 119,25.157,0.105,225,308,121185
Frame 120,25.186,0.105,225,308,121185
Frame 121,25.205,0.105,225,308,121185
Frame 122,25.196,0.105,225,308,121185
Frame 123,25.18,0.105,225,308,121185
Frame 124,25.168,0.105,225,308,121185
Frame 125,25.148,0.105,225,308,121185
Frame 126,25.12,0.105,225,308,121185
Frame 127,25.081,0.105,225,308,121185
Frame 128,25.035,0.105,225,308,121185
Frame 129,25.002,0.105,225,308,121185
Frame 130,24.978,0.105,225,308,121185
Frame 131,24.973,0.105,225,308,121185
Frame 132,24.974,0.105,225,308,121185
Frame 133,24.987,0.105,225,308,121185
